ref;value;Field1;Field4;Field5;Field6;Field7
D40;RED;DIODE LED RED 1206;.05;Y;Mouser 604-APTL3216SURCK;Digi 754-1165-1-ND
D41;RXD;DIODE LED RED 1206;.05;DO NOT PLACE;Mouser 604-APTL3216SURCK;Digi 754-1165-1-ND
D42;TXD;DIODE LED RED 1206;.05;DO NOT PLACE;Mouser 604-APTL3216SURCK;Digi 754-1165-1-ND
D43;SCK;DIODE LED RED 1206;.05;DO NOT PLACE;Mouser 604-APTL3216SURCK;Digi 754-1165-1-ND
D44;PWR;DIODE LED RED 1206;.05;DO NOT PLACE;Mouser 604-APTL3216SURCK;Digi 754-1165-1-ND
D45;S01575;DIODE SIG SMD 75V 1206;.04;Y;Mouser 652-CD1206-S01575;Digi CD1206-S01575CT-ND
F1;.5 A;FUSE POLY .5A 15V;.21;DO NOT PLACE;Mouser 576-1206L050/15YR;Digikey F3733CT-ND
J1;POWER;06-WAY SIL VERT SOCKET;.48;DO NOT PLACE;Mouser 855-M20-7820646;DigiKey 952-1809-ND
J2;ANALOG;06-WAY SIL VERT SOCKET;.48;DO NOT PLACE;Mouser 855-M20-7820646;DigiKey 952-1809-ND
J3;DIGITAL_0;SOCKET STRP .1 1X8;.55;DO NOT PLACE;Mouser 855-M20-7820842;Digikey 952-1823-ND
J4;DIGITAL_1;SOCKET STRP .1 1X8;.55;DO NOT PLACE;Mouser 855-M20-7820842;Digikey 952-1823-ND
P1;USB_2_MALE;CONN USB PCB M;DO NOT PLACE;P/O PCB;P/O PCB
P2;AVR-ISP-6A;CONN SPI AVR;.48;DO NOT PLACE;Mouser 649-75869-131LF;Digikey 609-2845-ND
R1;120;RES CER SMD 0603 120 5 1/10;.0026;Y;Mouser 667-ERJ-3GEYJ121V;DigiKey P120GCT-ND
R2;120;RES CER SMD 0603 120 5 1/10;.0026;Y;Mouser 667-ERJ-3GEYJ121V;DigiKey P120GCT-ND
R3;120;RES CER SMD 0603 120 5 1/10;.0026;Y;Mouser 667-ERJ-3GEYJ121V;DigiKey P120GCT-ND
R4;120;RES CER SMD 0603 120 5 1/10;.0026;Y;Mouser 667-ERJ-3GEYJ121V;DigiKey P120GCT-ND
R5;120;RES CER SMD 0603 120 5 1/10;.0026;Y;Mouser 667-ERJ-3GEYJ121V;DigiKey P120GCT-ND
R6;10K;RES CER SMD 0603 10K 5 1/10;.0026;Y;Mouser 667-ERJ-3GEYJ103V;Digikey P10KGCT-ND
R7;1K;RES CER SMD 0603 1K 5 1/10;.0026;DO NOT PLACE;Mouser 667-ERJ-3GEYJ102V;DigiKey P1.0KGCT-ND
R8;1K;RES CER SMD 0603 1K 5 1/10;.0026;DO NOT PLACE;Mouser 667-ERJ-3GEYJ102V;DigiKey P1.0KGCT-ND
R9;1K;RES CER SMD 0603 1K 5 1/10;.0026;DO NOT PLACE;Mouser 667-ERJ-3GEYJ102V;DigiKey P1.0KGCT-ND
R10;120;RES CER SMD 0603 120 5 1/10;.0026;Y;Mouser 667-ERJ-3GEYJ121V;DigiKey P120GCT-ND
R11;120;RES CER SMD 0603 120 5 1/10;.0026;DO NOT PLACE;Mouser 667-ERJ-3GEYJ121V;DigiKey P120GCT-ND
R12;10K;RES CER SMD 0603 10K 5 1/10;.0026;Y;Mouser 667-ERJ-3GEYJ103V;Digikey P10KGCT-ND
R13;10K;RES CER SMD 0603 10K 5 1/10;.0026;Y;Mouser 667-ERJ-3GEYJ103V;Digikey P10KGCT-ND
R14;0;RES CER SMD 0603 0;.0026;Y;Mouser 667-ERJ-3GEY0R00V;Digikey P0.0GCT-ND
R15;0;RES CER SMD 0603 0;.0026;DO NOT PLACE;Mouser 667-ERJ-3GEY0R00V;Digikey P0.0GCT-ND
R16;1K;RES CER SMD 0603 1K 5 1/10;.0026;DO NOT PLACE;Mouser 667-ERJ-3GEYJ102V;DigiKey P1.0KGCT-ND
R17;5V;VRSTR ESD 0603 LO-CAP;.09;DO NOT PLACE;Mouser 652-CG0603MLC-05E;Digi CG0603MLC-05ECT-ND
R18;5V;VRSTR ESD 0603 LO-CAP;.09;DO NOT PLACE;Mouser 652-CG0603MLC-05E;Digi CG0603MLC-05ECT-ND
R19;1K;RES CER SMD 0603 1K 5 1/10;.0026;DO NOT PLACE;Mouser 667-ERJ-3GEYJ102V;DigiKey P1.0KGCT-ND
R20;1K;RES CER SMD 0603 1K 5 1/10;.0026;DO NOT PLACE;Mouser 667-ERJ-3GEYJ102V;DigiKey P1.0KGCT-ND
R21;0;RES CER SMD 0603 0;.0026;DO NOT PLACE;Mouser 667-ERJ-3GEY0R00V ;Digikey P0.0GCT-ND
S1;RESET;SW PB SMD N.O.;.25;Y;Mouser 667-EVQQ2P02W;Digikey P12943SCT-ND
S2;PF1;SW PB SMD N.O.;.25;DO NOT PLACE;Mouser 667-EVQQ2P02W;Digikey P12943SCT-ND
S3;PF2;SW PB SMD N.O.;.25;DO NOT PLACE;Mouser 667-EVQQ2P02W;Digikey P12943SCT-ND
TP1;USB_D-;TEST POINT;DO NOT PLACE;P/O PCB;P/O PCB
TP2;USB_D+;TEST POINT;DO NOT PLACE;P/O PCB;P/O PCB
TP3;RXD;TEST POINT;DO NOT PLACE;P/O PCB;P/O PCB
TP4;TXD;TEST POINT;DO NOT PLACE;P/O PCB;P/O PCB
TP5;GND;TEST POINT;DO NOT PLACE;P/O PCB;P/O PCB
TP6;+5;TEST POINT;DO NOT PLACE;P/O PCB;P/O PCB
U1;ATMEGA128RFA1;IC MICROCONT RF 2450;5.37;Y;Mouser 556-ATMEGA128RFA1-ZU;Digi ATMEGA128RFA1-ZURCT-ND
U2;LP2985-33;IC REG 3.3V LDO SOT5;.36;DO  NOT PLACE;Mouser 595-LP2985-33DBVR;Digi 296-18476-1-ND
Y1;16.000 MHz;XTAL 16 MHZ;.50;Y;Mouser 815-ABMM-16-B2-T;DigiKey 535-9155-1-ND
Y2;32.768 KHz;XTAL RTC 32768;.80;Y;Mouser 520-ECS327-12.5-17X;DigiKey XC1195CT-ND
Z3;ANTENNA;DIPOLE_FOLDED;DO NOT PLACE;P/O PCB;P/O PCB
