ref;value;Field1;Field4;Field5;Field6
R4;120;RES CER SMD 0603 120 5 1/10;.0026;Y;Mouser 667-ERJ-3GEYJ121V
R5;120;RES CER SMD 0603 120 5 1/10;.0026;Y;Mouser 667-ERJ-3GEYJ121V
R6;10K;RES CER SMD 0603 10K 5 1/10;.0026;Y;Mouser 667-ERJ-3GEYJ103V
R7;1K;RES CER SMD 0603 1K 5 1/10;.0026;DO NOT PLACE;Mouser 667-ERJ-3GEYJ102V
R8;1K;RES CER SMD 0603 1K 5 1/10;.0026;DO NOT PLACE;Mouser 667-ERJ-3GEYJ102V
R9;1K;RES CER SMD 0603 1K 5 1/10;.0026;DO NOT PLACE;Mouser 667-ERJ-3GEYJ102V
R10;120;RES CER SMD 0603 120 5 1/10;.0026;Y;Mouser 667-ERJ-3GEYJ121V
R11;120;RES CER SMD 0603 120 5 1/10;.0026;DO NOT PLACE;Mouser 667-ERJ-3GEYJ121V
R12;0;RES CER SMD 0603 0;.0026;Y;Mouser 667-ERJ-3GEY0R00V 
R13;10K;RES CER SMD 0603 10K 5 1/10;.0026;Y;Mouser 667-ERJ-3GEYJ103V
R14;0;RES CER SMD 0603 0;.0026;Y;Mouser 667-ERJ-3GEY0R00V
R15;0;RES CER SMD 0603 0;.0026;DO NOT PLACE;Mouser 667-ERJ-3GEY0R00V
R16;1K;RES CER SMD 0603 1K 5 1/10;.0026;DO NOT PLACE;Mouser 667-ERJ-3GEYJ102V
R17;5V;VRSTR ESD 0603 LO-CAP;.09;DO NOT PLACE;Mouser 652-CG0603MLC-05E
R18;5V;VRSTR ESD 0603 LO-CAP;.09;DO NOT PLACE;Mouser 652-CG0603MLC-05E
R19;1K;RES CER SMD 0603 1K 5 1/10;.0026;DO NOT PLACE;Mouser 667-ERJ-3GEYJ102V
R20;1K;RES CER SMD 0603 1K 5 1/10;.0026;DO NOT PLACE;Mouser 667-ERJ-3GEYJ102V
R21;0;RES CER SMD 0603 0;.0026;DO NOT PLACE;Mouser 667-ERJ-3GEY0R00V 
R22;120;RES CER SMD 0603 120 5 1/10;.0026;DO NOT PLACE;Mouser 667-ERJ-3GEYJ121V
R23;120;RES CER SMD 0603 120 5 1/10;.0026;DO NOT PLACE;Mouser 667-ERJ-3GEYJ121V
R24;120;RES CER SMD 0603 120 5 1/10;.0026;DO NOT PLACE;Mouser 667-ERJ-3GEYJ121V
R25;120;RES CER SMD 0603 120 5 1/10;.0026;DO NOT PLACE;Mouser 667-ERJ-3GEYJ121V
R26;120;RES CER SMD 0603 120 5 1/10;.0026;DO NOT PLACE;Mouser 667-ERJ-3GEYJ121V
R27;120;RES CER SMD 0603 120 5 1/10;.0026;DO NOT PLACE;Mouser 667-ERJ-3GEYJ121V
S1;RESET;SW PB SMD N.O.;.25;Y;Mouser 667-EVQQ2P02W
S2;PF1;SW PB SMD N.O.;.25;DO NOT PLACE;Mouser 667-EVQQ2P02W
S3;PF2;SW PB SMD N.O.;.25;DO NOT PLACE;Mouser 667-EVQQ2P02W
TP1;USB_D-;USB D- TP
TP2;USB_D+;USB D+ TP
U1;ATMEGA128RFA1;IC MICROCONT RF 2450;5.28;Y;Mouser 556-ATMEGA128RFA1-ZU
U2;LP2985-33;IC REG 3.3V LDO SOT5;.36;DO  NOT PLACE;Mouser 595-LP2985-33DBVR
Y1;16.000 MHz;XTAL 16 MHZ;.50;Y;Mouser 815-ABMM-16-B2-T
Y2;32.768 KHz;XTAL RTC 32768;.80;Y;Mouser 520-ECS327-12.5-17X-TR
Z1;ANTENNA;ANTENNA PRINTED
Z2;100 OHM BAL;LINE TRANS 100 OHM;DO NOT PLACE
